Time	<S12L^ S12 S12R^>
0	0
1963.83259281781	0
4075.98229108917	0
6096.39300667176	0
8322.8387696147	0
10559.9103743885	0
13195.9825601281	0
15459.7257519648	0
17893.9579367061	0
20483.6013631764	0
23213.5782802002	0
26106.0007373008	0
28073.6223082108	0
30080.5838119639	0
32115.0205776729	0
34176.9326053378	0
36257.373049574	0
38356.3419103814	0
40467.5787211098	0
42591.0834817593	0
44732.9815955355	0
46893.2730624385	0
49208.9978526492	0
51680.1559661677	0
54258.1516337416	0
56942.9848553708	0
59850.1016601791	0
62979.5020481664	0
66330.1626025011	0
69902.0833231832	0
71688.0436835243	0
73837.8506601026	0
75987.6576366809	0
78137.4646132592	0
80287.2715898375	0
82882.1162236096	0
85476.9608573818	0
88071.805491154	0
90666.6501249262	0
93981.779795836	0
97296.9094667458	0
100612.039137656	0
103927.168808565	0
108309.295824117	0
112691.422839669	0
117073.549855221	0
121455.676870773	0
127881.474301578	0
134307.271732383	0
140733.069163189	0
147158.866593994	0
158009.881721273	0
168860.896848551	0
179711.911975829	0
190562.927103108	0
200843.48408863	0
211124.041074152	0
221404.598059674	0
231685.155045197	0
236820.161704689	0
241955.168364182	0
247090.175023674	0
252225.181683167	0
257598.40908659	0
262971.636490013	0
268344.863893436	0
273718.091296859	0
282099.131071282	0
290480.170845706	0
298861.210620129	0
307242.250394552	0
317341.240011286	0
327440.22962802	0
337539.219244754	0
347638.208861488	0
355036.554155463	0
362434.899449438	0
369833.244743413	0
377231.590037388	0
382817.091851827	0
388402.593666266	0
393988.095480705	0
399573.597295144	0
405303.051055347	0
411032.504815549	0
416761.958575751	0
422491.412335954	0
430234.326230889	0
437977.240125823	0
445720.154020758	0
453463.067915693	0
462406.286319427	0
471349.50472316	0
480292.723126893	0
489235.941530627	0
496564.469061722	0
503892.996592818	0
511221.524123913	0
518550.051655008	0
524518.538778425	0
530487.025901842	0
536455.513025258	0
542424.000148675	0
548473.22641246	0
554522.452676244	0
560571.678940029	0
566620.905203813	0
574054.01254392	0
581487.119884026	0
588920.227224133	0
596353.334564239	0
604605.540239488	0
612857.745914736	0
621109.951589985	0
629362.157265233	0
636610.282932595	0
643858.408599957	0
651106.534267318	0
658354.65993468	0
664607.646654725	0
670860.633374769	0
677113.620094814	0
683366.606814858	0
689663.196805189	0
695959.786795521	0
702256.376785852	0
708552.966776183	0
715804.465005282	0
723055.963234381	0
730307.46146348	0
737558.959692579	0
745374.373903639	0
753189.788114698	0
761005.202325758	0
768820.616536817	0
775999.877337837	0
783179.138138858	0
790358.398939878	0
797537.659740899	0
804001.258136307	0
810464.856531715	0
816928.454927122	0
823392.05332253	0
829874.677298523	0
836357.301274516	0
842839.925250509	0
849322.549226502	0
856463.256839724	0
863603.964452945	0
870744.672066166	0
877885.379679387	0
885417.889718391	0
892950.399757394	0
900482.909796397	0
908015.4198354	0
915139.874826526	0
922264.329817652	0
929388.784808778	0
936513.239799904	0
943129.109342574	0
949744.978885244	0
956360.848427915	0
962976.717970585	0
969596.186263845	0
976215.654557105	0
982835.122850365	0
989454.591143625	0
996526.632578273	0
1003598.67401292	0
1010670.71544757	0
1017742.75688222	0
1025088.93116058	0
1032435.10543894	0
1039781.2797173	0
1047127.45399566	0
1054209.65585326	0
1061291.85771085	0
1068374.05956844	0
1075456.26142603	0
1082179.97148011	0
1088903.68153419	0
1095627.39158827	0
1102351.10164235	0
1109069.69986992	0
1115788.29809749	0
1122506.89632506	0
1129225.49455263	0
1136254.6913633	0
1143283.88817397	0
1150313.08498464	0
1157342.28179531	0
1164564.20035843	0
1171786.11892154	0
1179008.03748466	0
1186229.95604778	0
1193280.15463241	0
1200330.35321704	0
1207380.55180167	0
1214430.7503863	0
1221229.67226035	0
1228028.5941344	0
1234827.51600844	0
1241626.43788249	0
1248416.09964541	0
1255205.76140833	0
1261995.42317125	0
1268785.08493417	0
1275787.50862617	0
1282789.93231817	0
1289792.35601017	0
1296794.77970218	0
1303933.09625134	0
1311071.41280051	0
1318209.72934968	0
1325348.04589885	0
1332374.28193695	0
1339400.51797506	0
1346426.75401316	0
1353452.99005126	0
1360303.793022	0
1367154.59599274	0
1374005.39896348	0
1380856.20193422	0
1387696.43824651	0
1394536.67455879	0
1401376.91087108	0
1408217.14718336	0
